home,away,won,home_attack,home_defense,away_attack,away_defense
2,2,draw,1.8843126470588236,0.8439198823529411,1.2429387647058823,1.1487043529411765
3,0,home,1.4640096470588235,0.9326041176470588,1.3212463749999999,1.041881625
0,0,draw,1.3822863125,1.3430998125,1.222720125,1.28131625
0,1,away,1.1926560588235293,1.1059185294117648,1.2928455,1.0782388125
4,1,home,1.3707081176470588,1.2577475294117648,1.3256561875,1.1300745625
0,1,away,1.223198875,1.05184675,1.1705594117647058,1.3758886470588234
2,2,draw,1.1147025294117647,1.3536147058823529,1.0524451875,1.2184126874999999
3,1,home,1.140491294117647,1.5140910588235295,0.901947125,1.93214425
0,1,away,1.166936,1.3278615625,1.010062125,1.60785025
1,0,home,1.010062125,1.60785025,1.8843126470588236,0.8439198823529411
3,0,home,1.222720125,1.28131625,1.4640096470588235,0.9326041176470588
1,1,draw,1.0524451875,1.2184126874999999,1.166936,1.3278615625
2,0,home,1.2928455,1.0782388125,1.1705594117647058,1.3758886470588234
1,1,draw,1.3256561875,1.1300745625,1.1147025294117647,1.3536147058823529
1,1,draw,0.901947125,1.93214425,1.1926560588235293,1.1059185294117648
0,0,draw,1.3707081176470588,1.2577475294117648,1.3822863125,1.3430998125
1,3,away,1.2429387647058823,1.1487043529411765,1.223198875,1.05184675
1,0,home,1.3212463749999999,1.041881625,1.140491294117647,1.5140910588235295
4,0,home,1.8843126470588236,0.8439198823529411,1.0524451875,1.2184126874999999
4,0,home,1.4640096470588235,0.9326041176470588,0.901947125,1.93214425
2,1,home,1.3822863125,1.3430998125,1.3256561875,1.1300745625
3,2,home,1.1926560588235293,1.1059185294117648,1.3212463749999999,1.041881625
2,0,home,1.223198875,1.05184675,1.2928455,1.0782388125
3,2,home,1.1705594117647058,1.3758886470588234,1.2429387647058823,1.1487043529411765
1,1,draw,1.1147025294117647,1.3536147058823529,1.3707081176470588,1.2577475294117648
2,3,away,1.140491294117647,1.5140910588235295,1.010062125,1.60785025
5,1,home,1.166936,1.3278615625,1.222720125,1.28131625
2,2,draw,1.3212463749999999,1.041881625,1.8843126470588236,0.8439198823529411
4,0,home,1.0524451875,1.2184126874999999,1.140491294117647,1.5140910588235295
1,1,draw,1.3256561875,1.1300745625,1.4640096470588235,0.9326041176470588
1,2,away,1.3707081176470588,1.2577475294117648,1.166936,1.3278615625
5,2,home,1.222720125,1.28131625,1.1926560588235293,1.1059185294117648
3,0,home,0.901947125,1.93214425,1.223198875,1.05184675
1,1,draw,1.010062125,1.60785025,1.1705594117647058,1.3758886470588234
0,1,away,1.2429387647058823,1.1487043529411765,1.2928455,1.0782388125
2,2,draw,1.1147025294117647,1.3536147058823529,1.3822863125,1.3430998125
5,0,home,1.8843126470588236,0.8439198823529411,1.3822863125,1.3430998125
3,2,home,1.4640096470588235,0.9326041176470588,1.1147025294117647,1.3536147058823529
2,0,home,1.2928455,1.0782388125,1.3212463749999999,1.041881625
3,2,home,1.1926560588235293,1.1059185294117648,1.010062125,1.60785025
5,1,home,1.223198875,1.05184675,1.0524451875,1.2184126874999999
2,2,draw,1.1705594117647058,1.3758886470588234,1.222720125,1.28131625
4,1,home,1.2429387647058823,1.1487043529411765,0.901947125,1.93214425
0,3,away,1.140491294117647,1.5140910588235295,1.3707081176470588,1.2577475294117648
0,2,away,1.166936,1.3278615625,1.3256561875,1.1300745625
5,0,home,1.3212463749999999,1.041881625,1.2429387647058823,1.1487043529411765
2,2,draw,1.0524451875,1.2184126874999999,1.1705594117647058,1.3758886470588234
2,0,home,1.3822863125,1.3430998125,1.166936,1.3278615625
5,0,home,1.3256561875,1.1300745625,1.1926560588235293,1.1059185294117648
0,2,away,1.3707081176470588,1.2577475294117648,1.8843126470588236,0.8439198823529411
1,3,away,1.222720125,1.28131625,1.223198875,1.05184675
2,1,home,0.901947125,1.93214425,1.2928455,1.0782388125
3,3,draw,1.010062125,1.60785025,1.4640096470588235,0.9326041176470588
2,1,home,1.1147025294117647,1.3536147058823529,1.140491294117647,1.5140910588235295
6,2,home,1.8843126470588236,0.8439198823529411,1.3256561875,1.1300745625
2,0,home,1.4640096470588235,0.9326041176470588,1.0524451875,1.2184126874999999
2,1,home,1.2928455,1.0782388125,1.222720125,1.28131625
1,1,draw,1.1926560588235293,1.1059185294117648,1.3707081176470588,1.2577475294117648
1,2,away,1.223198875,1.05184675,1.3212463749999999,1.041881625
4,0,home,1.1705594117647058,1.3758886470588234,0.901947125,1.93214425
2,1,home,1.2429387647058823,1.1487043529411765,1.010062125,1.60785025
0,2,away,1.140491294117647,1.5140910588235295,1.3822863125,1.3430998125
1,0,home,1.166936,1.3278615625,1.1147025294117647,1.3536147058823529
3,0,home,1.3212463749999999,1.041881625,0.901947125,1.93214425
5,0,home,1.0524451875,1.2184126874999999,1.2928455,1.0782388125
2,0,home,1.3822863125,1.3430998125,1.1926560588235293,1.1059185294117648
0,3,away,1.3256561875,1.1300745625,1.1705594117647058,1.3758886470588234
1,3,away,1.3707081176470588,1.2577475294117648,1.4640096470588235,0.9326041176470588
3,1,home,1.222720125,1.28131625,1.2429387647058823,1.1487043529411765
1,2,away,1.010062125,1.60785025,1.223198875,1.05184675
2,3,away,1.1147025294117647,1.3536147058823529,1.8843126470588236,0.8439198823529411
2,1,home,1.166936,1.3278615625,1.140491294117647,1.5140910588235295
6,1,home,1.8843126470588236,0.8439198823529411,1.166936,1.3278615625
3,1,home,1.4640096470588235,0.9326041176470588,1.3822863125,1.3430998125
2,2,draw,1.2928455,1.0782388125,1.010062125,1.60785025
1,2,away,1.1926560588235293,1.1059185294117648,1.0524451875,1.2184126874999999
4,2,home,1.223198875,1.05184675,1.3707081176470588,1.2577475294117648
2,0,home,1.1705594117647058,1.3758886470588234,1.3212463749999999,1.041881625
2,1,home,0.901947125,1.93214425,1.222720125,1.28131625
2,1,home,1.2429387647058823,1.1487043529411765,1.1147025294117647,1.3536147058823529
1,0,home,1.140491294117647,1.5140910588235295,1.3256561875,1.1300745625
2,0,home,1.0524451875,1.2184126874999999,1.2429387647058823,1.1487043529411765
4,1,home,1.3822863125,1.3430998125,1.2928455,1.0782388125
1,1,draw,1.3256561875,1.1300745625,1.223198875,1.05184675
1,2,away,1.3707081176470588,1.2577475294117648,1.1705594117647058,1.3758886470588234
4,2,home,1.222720125,1.28131625,1.3212463749999999,1.041881625
0,1,away,1.010062125,1.60785025,0.901947125,1.93214425
2,0,home,1.1147025294117647,1.3536147058823529,1.1926560588235293,1.1059185294117648
0,2,away,1.140491294117647,1.5140910588235295,1.8843126470588236,0.8439198823529411
1,2,away,1.166936,1.3278615625,1.4640096470588235,0.9326041176470588
4,3,home,1.3212463749999999,1.041881625,1.010062125,1.60785025
1,1,draw,1.4640096470588235,0.9326041176470588,1.8843126470588236,0.8439198823529411
3,1,home,1.2928455,1.0782388125,1.3707081176470588,1.2577475294117648
7,1,home,1.1926560588235293,1.1059185294117648,1.166936,1.3278615625
2,3,away,1.222720125,1.28131625,1.0524451875,1.2184126874999999
3,0,home,1.223198875,1.05184675,1.140491294117647,1.5140910588235295
6,0,home,1.1705594117647058,1.3758886470588234,1.3822863125,1.3430998125
3,1,home,0.901947125,1.93214425,1.1147025294117647,1.3536147058823529
1,1,draw,1.2429387647058823,1.1487043529411765,1.3256561875,1.1300745625
1,1,draw,1.8843126470588236,0.8439198823529411,1.1926560588235293,1.1059185294117648
2,2,draw,1.3707081176470588,1.2577475294117648,1.2429387647058823,1.1487043529411765
0,5,away,1.1147025294117647,1.3536147058823529,1.1705594117647058,1.3758886470588234
1,6,away,1.140491294117647,1.5140910588235295,1.4640096470588235,0.9326041176470588
