home,away,won,home_attack,home_deffense,away_attack,away_deffense
1,0,home,1.0321940263157894,1.5351884210526316,1.8849050263157894,0.6932991315789474
3,1,home,1.2777044210526316,1.2818752894736842,0.9861132894736842,1.5084882368421053
1,1,draw,1.1816294210526317,1.2043040263157894,1.2540695,1.1672712894736843
1,4,away,0.9478512105263158,1.4598005,1.1898006052631578,1.391812947368421
1,2,away,1.5200721052631578,1.0949210263157894,1.892587052631579,0.5854081842105263
2,1,home,1.1958043684210526,1.2393216315789473,1.1252872631578947,1.225867657894737
2,2,draw,1.5598515,0.9066103947368421,1.8849050263157894,0.6932991315789474
2,3,away,1.1738137894736842,1.080241,1.1898006052631578,1.391812947368421
2,3,away,1.1557961842105262,1.2303976315789473,1.2552712368421053,1.163274
3,1,home,1.1913677631578947,1.4449997631578948,0.9861132894736842,1.5084882368421053
3,0,home,1.0321940263157894,1.5351884210526316,0.8757456578947368,1.7251497105263158
0,1,away,1.2777044210526316,1.2818752894736842,0.9220954210526315,1.405638394736842
1,2,away,1.1816294210526317,1.2043040263157894,1.0715308157894736,1.3496214210526316
0,1,away,0.9478512105263158,1.4598005,1.2540695,1.1672712894736843
2,2,draw,1.1252872631578947,1.225867657894737,1.2777044210526316,1.2818752894736842
1,1,draw,1.2552712368421053,1.163274,1.1738137894736842,1.080241
0,2,away,0.9861132894736842,1.5084882368421053,1.0321940263157894,1.5351884210526316
3,0,home,1.8849050263157894,0.6932991315789474,1.1958043684210526,1.2393216315789473
1,0,home,1.892587052631579,0.5854081842105263,1.5598515,0.9066103947368421
1,1,draw,1.0715308157894736,1.3496214210526316,0.9478512105263158,1.4598005
2,1,home,0.8757456578947368,1.7251497105263158,1.1557961842105262,1.2303976315789473
3,0,home,1.2540695,1.1672712894736843,1.5200721052631578,1.0949210263157894
2,3,away,1.1898006052631578,1.391812947368421,1.1913677631578947,1.4449997631578948
3,1,home,0.9220954210526315,1.405638394736842,1.1816294210526317,1.2043040263157894
0,0,draw,1.5200721052631578,1.0949210263157894,0.9861132894736842,1.5084882368421053
1,2,away,1.1958043684210526,1.2393216315789473,0.9220954210526315,1.405638394736842
2,0,home,1.5598515,0.9066103947368421,1.2540695,1.1672712894736843
1,3,away,1.1738137894736842,1.080241,1.8849050263157894,0.6932991315789474
0,1,away,1.1557961842105262,1.2303976315789473,1.1252872631578947,1.225867657894737
0,1,away,1.1913677631578947,1.4449997631578948,1.0715308157894736,1.3496214210526316
1,1,draw,1.0321940263157894,1.5351884210526316,1.2552712368421053,1.163274
1,0,home,1.2777044210526316,1.2818752894736842,1.1898006052631578,1.391812947368421
1,1,draw,1.1816294210526317,1.2043040263157894,1.892587052631579,0.5854081842105263
0,3,away,0.9478512105263158,1.4598005,0.8757456578947368,1.7251497105263158
3,3,draw,1.1252872631578947,1.225867657894737,1.1913677631578947,1.4449997631578948
1,1,draw,1.2552712368421053,1.163274,1.5598515,0.9066103947368421
1,1,draw,0.9861132894736842,1.5084882368421053,1.2777044210526316,1.2818752894736842
1,1,draw,0.8757456578947368,1.7251497105263158,1.1738137894736842,1.080241
1,0,home,1.1898006052631578,1.391812947368421,0.9478512105263158,1.4598005
0,1,away,0.9220954210526315,1.405638394736842,1.5200721052631578,1.0949210263157894
3,1,home,1.0715308157894736,1.3496214210526316,1.1557961842105262,1.2303976315789473
2,3,away,1.2540695,1.1672712894736843,1.1816294210526317,1.2043040263157894
2,0,home,1.8849050263157894,0.6932991315789474,1.0321940263157894,1.5351884210526316
2,0,home,1.892587052631579,0.5854081842105263,1.1958043684210526,1.2393216315789473
0,0,draw,1.1958043684210526,1.2393216315789473,1.1738137894736842,1.080241
0,1,away,0.9861132894736842,1.5084882368421053,1.8849050263157894,0.6932991315789474
2,4,away,1.5598515,0.9066103947368421,1.5200721052631578,1.0949210263157894
3,0,home,1.1557961842105262,1.2303976315789473,1.1913677631578947,1.4449997631578948
2,2,draw,1.0321940263157894,1.5351884210526316,1.1898006052631578,1.391812947368421
1,1,draw,1.2777044210526316,1.2818752894736842,1.1816294210526317,1.2043040263157894
1,0,home,1.0715308157894736,1.3496214210526316,1.1252872631578947,1.225867657894737
0,4,away,0.8757456578947368,1.7251497105263158,1.892587052631579,0.5854081842105263
0,2,away,1.2540695,1.1672712894736843,0.9220954210526315,1.405638394736842
0,2,away,0.9478512105263158,1.4598005,1.2552712368421053,1.163274
2,1,home,1.5200721052631578,1.0949210263157894,1.1958043684210526,1.2393216315789473
0,1,away,1.1252872631578947,1.225867657894737,0.9478512105263158,1.4598005
0,3,away,1.2552712368421053,1.163274,0.9861132894736842,1.5084882368421053
0,1,away,1.1738137894736842,1.080241,1.5598515,0.9066103947368421
2,4,away,1.1913677631578947,1.4449997631578948,1.2777044210526316,1.2818752894736842
3,1,home,1.8849050263157894,0.6932991315789474,0.8757456578947368,1.7251497105263158
2,3,away,1.892587052631579,0.5854081842105263,1.2540695,1.1672712894736843
2,0,home,1.1816294210526317,1.2043040263157894,1.1557961842105262,1.2303976315789473
1,1,draw,1.1898006052631578,1.391812947368421,1.0715308157894736,1.3496214210526316
2,1,home,0.9220954210526315,1.405638394736842,1.0321940263157894,1.5351884210526316
0,2,away,1.5200721052631578,1.0949210263157894,1.8849050263157894,0.6932991315789474
0,2,away,1.1958043684210526,1.2393216315789473,1.0715308157894736,1.3496214210526316
0,2,away,1.2552712368421053,1.163274,1.1252872631578947,1.225867657894737
1,1,draw,1.5598515,0.9066103947368421,1.0321940263157894,1.5351884210526316
1,1,draw,1.1738137894736842,1.080241,0.9861132894736842,1.5084882368421053
0,1,away,1.1557961842105262,1.2303976315789473,1.892587052631579,0.5854081842105263
0,4,away,1.1913677631578947,1.4449997631578948,1.2540695,1.1672712894736843
0,0,draw,1.2777044210526316,1.2818752894736842,0.9478512105263158,1.4598005
2,0,home,1.1816294210526317,1.2043040263157894,0.8757456578947368,1.7251497105263158
1,0,home,1.1898006052631578,1.391812947368421,0.9220954210526315,1.405638394736842
4,0,home,1.1252872631578947,1.225867657894737,1.1816294210526317,1.2043040263157894
0,4,away,0.9861132894736842,1.5084882368421053,1.5598515,0.9066103947368421
1,0,home,1.0321940263157894,1.5351884210526316,1.1913677631578947,1.4449997631578948
1,0,home,1.8849050263157894,0.6932991315789474,1.1898006052631578,1.391812947368421
4,1,home,1.892587052631579,0.5854081842105263,1.2777044210526316,1.2818752894736842
2,1,home,1.0715308157894736,1.3496214210526316,1.2552712368421053,1.163274
1,3,away,0.8757456578947368,1.7251497105263158,1.1958043684210526,1.2393216315789473
5,0,home,1.2540695,1.1672712894736843,1.1557961842105262,1.2303976315789473
2,3,away,0.9478512105263158,1.4598005,1.5200721052631578,1.0949210263157894
0,2,away,0.9220954210526315,1.405638394736842,1.1738137894736842,1.080241
2,0,home,1.5200721052631578,1.0949210263157894,1.0321940263157894,1.5351884210526316
2,0,home,1.1958043684210526,1.2393216315789473,0.9861132894736842,1.5084882368421053
0,2,away,1.2552712368421053,1.163274,1.8849050263157894,0.6932991315789474
1,0,home,1.5598515,0.9066103947368421,1.0715308157894736,1.3496214210526316
0,0,draw,1.1738137894736842,1.080241,1.892587052631579,0.5854081842105263
0,1,away,1.1557961842105262,1.2303976315789473,0.9220954210526315,1.405638394736842
2,1,home,1.1913677631578947,1.4449997631578948,0.8757456578947368,1.7251497105263158
3,2,home,1.2777044210526316,1.2818752894736842,1.2540695,1.1672712894736843
1,2,away,1.1816294210526317,1.2043040263157894,0.9478512105263158,1.4598005
2,1,home,1.1898006052631578,1.391812947368421,1.1252872631578947,1.225867657894737
0,1,away,1.1252872631578947,1.225867657894737,1.5200721052631578,1.0949210263157894
2,0,home,0.9861132894736842,1.5084882368421053,1.1816294210526317,1.2043040263157894
2,1,home,1.0321940263157894,1.5351884210526316,1.1958043684210526,1.2393216315789473
4,0,home,1.8849050263157894,0.6932991315789474,1.2777044210526316,1.2818752894736842
3,0,home,1.892587052631579,0.5854081842105263,1.2552712368421053,1.163274
1,0,home,1.0715308157894736,1.3496214210526316,1.1738137894736842,1.080241
1,3,away,0.8757456578947368,1.7251497105263158,1.5598515,0.9066103947368421
3,1,home,1.2540695,1.1672712894736843,1.1898006052631578,1.391812947368421
0,0,draw,0.9478512105263158,1.4598005,1.1557961842105262,1.2303976315789473
2,3,away,0.9220954210526315,1.405638394736842,1.1913677631578947,1.4449997631578948
0,0,draw,1.2552712368421053,1.163274,0.8757456578947368,1.7251497105263158
0,2,away,0.9861132894736842,1.5084882368421053,1.892587052631579,0.5854081842105263
1,4,away,1.5598515,0.9066103947368421,1.1958043684210526,1.2393216315789473
3,0,home,1.1738137894736842,1.080241,1.5200721052631578,1.0949210263157894
1,1,draw,1.1913677631578947,1.4449997631578948,1.1816294210526317,1.2043040263157894
2,0,home,1.8849050263157894,0.6932991315789474,0.9478512105263158,1.4598005
1,1,draw,1.2777044210526316,1.2818752894736842,1.0321940263157894,1.5351884210526316
5,1,home,1.2540695,1.1672712894736843,1.0715308157894736,1.3496214210526316
2,1,home,1.1898006052631578,1.391812947368421,1.1557961842105262,1.2303976315789473
2,1,home,0.9220954210526315,1.405638394736842,1.1252872631578947,1.225867657894737
1,2,away,1.5200721052631578,1.0949210263157894,1.2552712368421053,1.163274
0,4,away,1.1252872631578947,1.225867657894737,1.2540695,1.1672712894736843
2,0,home,1.1958043684210526,1.2393216315789473,1.1898006052631578,1.391812947368421
1,0,home,1.1557961842105262,1.2303976315789473,1.2777044210526316,1.2818752894736842
2,1,home,1.0321940263157894,1.5351884210526316,1.1738137894736842,1.080241
2,2,draw,1.892587052631579,0.5854081842105263,1.8849050263157894,0.6932991315789474
1,0,home,1.0715308157894736,1.3496214210526316,0.9220954210526315,1.405638394736842
2,0,home,0.8757456578947368,1.7251497105263158,0.9861132894736842,1.5084882368421053
0,6,away,1.1816294210526317,1.2043040263157894,1.5598515,0.9066103947368421
0,3,away,0.9478512105263158,1.4598005,1.1913677631578947,1.4449997631578948
1,2,away,1.1252872631578947,1.225867657894737,1.8849050263157894,0.6932991315789474
3,2,home,1.1557961842105262,1.2303976315789473,1.1738137894736842,1.080241
0,3,away,1.1913677631578947,1.4449997631578948,1.5598515,0.9066103947368421
3,2,home,1.2777044210526316,1.2818752894736842,0.8757456578947368,1.7251497105263158
2,1,home,1.0715308157894736,1.3496214210526316,1.0321940263157894,1.5351884210526316
1,0,home,1.1816294210526317,1.2043040263157894,1.5200721052631578,1.0949210263157894
0,1,away,1.2540695,1.1672712894736843,1.2552712368421053,1.163274
1,2,away,0.9478512105263158,1.4598005,1.1958043684210526,1.2393216315789473
1,1,draw,1.1898006052631578,1.391812947368421,0.9861132894736842,1.5084882368421053
1,5,away,0.9220954210526315,1.405638394736842,1.892587052631579,0.5854081842105263
3,1,home,1.5200721052631578,1.0949210263157894,1.2777044210526316,1.2818752894736842
0,0,draw,1.1958043684210526,1.2393216315789473,1.2540695,1.1672712894736843
2,2,draw,1.2552712368421053,1.163274,1.1816294210526317,1.2043040263157894
1,0,home,0.9861132894736842,1.5084882368421053,0.9220954210526315,1.405638394736842
1,0,home,1.5598515,0.9066103947368421,1.1898006052631578,1.391812947368421
0,0,draw,1.1738137894736842,1.080241,1.1913677631578947,1.4449997631578948
0,0,draw,1.0321940263157894,1.5351884210526316,1.1252872631578947,1.225867657894737
2,0,home,1.8849050263157894,0.6932991315789474,1.1557961842105262,1.2303976315789473
5,1,home,1.892587052631579,0.5854081842105263,0.9478512105263158,1.4598005
0,3,away,0.8757456578947368,1.7251497105263158,1.0715308157894736,1.3496214210526316
2,0,home,1.1252872631578947,1.225867657894737,0.8757456578947368,1.7251497105263158
1,0,home,1.1557961842105262,1.2303976315789473,1.5598515,0.9066103947368421
0,4,away,1.1913677631578947,1.4449997631578948,1.892587052631579,0.5854081842105263
3,0,home,1.2777044210526316,1.2818752894736842,1.1958043684210526,1.2393216315789473
0,1,away,1.0715308157894736,1.3496214210526316,1.8849050263157894,0.6932991315789474
1,2,away,1.1816294210526317,1.2043040263157894,1.1738137894736842,1.080241
3,1,home,1.2540695,1.1672712894736843,1.0321940263157894,1.5351884210526316
1,2,away,0.9478512105263158,1.4598005,0.9861132894736842,1.5084882368421053
1,2,away,1.1898006052631578,1.391812947368421,1.5200721052631578,1.0949210263157894
0,3,away,0.9220954210526315,1.405638394736842,1.2552712368421053,1.163274
2,1,home,1.5200721052631578,1.0949210263157894,1.1913677631578947,1.4449997631578948
3,0,home,1.1958043684210526,1.2393216315789473,1.1816294210526317,1.2043040263157894
4,0,home,1.2552712368421053,1.163274,1.2777044210526316,1.2818752894736842
1,3,away,0.9861132894736842,1.5084882368421053,1.1252872631578947,1.225867657894737
2,2,draw,1.5598515,0.9066103947368421,0.9220954210526315,1.405638394736842
1,0,home,1.1738137894736842,1.080241,0.9478512105263158,1.4598005
1,2,away,1.0321940263157894,1.5351884210526316,1.1557961842105262,1.2303976315789473
1,1,draw,1.8849050263157894,0.6932991315789474,1.2540695,1.1672712894736843
5,0,home,1.892587052631579,0.5854081842105263,1.0715308157894736,1.3496214210526316
0,4,away,0.8757456578947368,1.7251497105263158,1.1898006052631578,1.391812947368421
1,1,draw,1.1252872631578947,1.225867657894737,1.1738137894736842,1.080241
2,3,away,1.1557961842105262,1.2303976315789473,1.1958043684210526,1.2393216315789473
1,1,draw,1.1913677631578947,1.4449997631578948,1.2552712368421053,1.163274
1,1,draw,1.2777044210526316,1.2818752894736842,1.5598515,0.9066103947368421
2,0,home,1.0715308157894736,1.3496214210526316,1.5200721052631578,1.0949210263157894
1,2,away,1.1816294210526317,1.2043040263157894,1.8849050263157894,0.6932991315789474
1,0,home,1.2540695,1.1672712894736843,0.9861132894736842,1.5084882368421053
1,5,away,0.9478512105263158,1.4598005,1.0321940263157894,1.5351884210526316
2,2,draw,1.1898006052631578,1.391812947368421,1.892587052631579,0.5854081842105263
1,1,draw,0.9220954210526315,1.405638394736842,0.8757456578947368,1.7251497105263158
5,1,home,1.5200721052631578,1.0949210263157894,1.1557961842105262,1.2303976315789473
1,2,away,1.1958043684210526,1.2393216315789473,1.1913677631578947,1.4449997631578948
3,1,home,1.2552712368421053,1.163274,1.1898006052631578,1.391812947368421
1,2,away,0.9861132894736842,1.5084882368421053,1.0715308157894736,1.3496214210526316
2,1,home,1.5598515,0.9066103947368421,0.9478512105263158,1.4598005
1,0,home,1.1738137894736842,1.080241,1.2777044210526316,1.2818752894736842
4,1,home,1.0321940263157894,1.5351884210526316,1.1816294210526317,1.2043040263157894
3,1,home,1.8849050263157894,0.6932991315789474,0.9220954210526315,1.405638394736842
3,2,home,1.892587052631579,0.5854081842105263,1.1252872631578947,1.225867657894737
0,5,away,0.8757456578947368,1.7251497105263158,1.2540695,1.1672712894736843
2,0,home,1.1958043684210526,1.2393216315789473,1.5200721052631578,1.0949210263157894
1,2,away,0.9861132894736842,1.5084882368421053,1.2552712368421053,1.163274
3,0,home,1.5598515,0.9066103947368421,1.1738137894736842,1.080241
3,1,home,1.1557961842105262,1.2303976315789473,1.1816294210526317,1.2043040263157894
1,0,home,1.0321940263157894,1.5351884210526316,0.9220954210526315,1.405638394736842
5,1,home,1.2777044210526316,1.2818752894736842,1.1913677631578947,1.4449997631578948
2,4,away,1.0715308157894736,1.3496214210526316,1.1898006052631578,1.391812947368421
0,3,away,0.8757456578947368,1.7251497105263158,1.8849050263157894,0.6932991315789474
1,0,home,1.2540695,1.1672712894736843,1.892587052631579,0.5854081842105263
3,2,home,0.9478512105263158,1.4598005,1.1252872631578947,1.225867657894737
0,2,away,1.5200721052631578,1.0949210263157894,1.5598515,0.9066103947368421
2,0,home,1.1252872631578947,1.225867657894737,1.0715308157894736,1.3496214210526316
2,0,home,1.2552712368421053,1.163274,0.9478512105263158,1.4598005
0,0,draw,1.1738137894736842,1.080241,1.1958043684210526,1.2393216315789473
2,2,draw,1.1913677631578947,1.4449997631578948,1.1557961842105262,1.2303976315789473
2,0,home,1.8849050263157894,0.6932991315789474,0.9861132894736842,1.5084882368421053
5,0,home,1.892587052631579,0.5854081842105263,0.8757456578947368,1.7251497105263158
1,1,draw,1.1816294210526317,1.2043040263157894,1.2777044210526316,1.2818752894736842
4,1,home,1.1898006052631578,1.391812947368421,1.0321940263157894,1.5351884210526316
0,1,away,0.9220954210526315,1.405638394736842,1.2540695,1.1672712894736843
1,1,draw,1.1252872631578947,1.225867657894737,1.1958043684210526,1.2393216315789473
0,2,away,1.2552712368421053,1.163274,1.1557961842105262,1.2303976315789473
1,1,draw,0.9861132894736842,1.5084882368421053,1.1913677631578947,1.4449997631578948
1,1,draw,1.8849050263157894,0.6932991315789474,1.5598515,0.9066103947368421
5,0,home,1.892587052631579,0.5854081842105263,1.5200721052631578,1.0949210263157894
2,2,draw,1.0715308157894736,1.3496214210526316,1.1816294210526317,1.2043040263157894
1,2,away,0.8757456578947368,1.7251497105263158,1.0321940263157894,1.5351884210526316
1,0,home,1.2540695,1.1672712894736843,0.9478512105263158,1.4598005
2,2,draw,1.1898006052631578,1.391812947368421,1.1738137894736842,1.080241
0,1,away,0.9220954210526315,1.405638394736842,1.2777044210526316,1.2818752894736842
1,0,home,1.5200721052631578,1.0949210263157894,0.8757456578947368,1.7251497105263158
0,1,away,1.1958043684210526,1.2393216315789473,1.2552712368421053,1.163274
3,0,home,1.5598515,0.9066103947368421,1.1252872631578947,1.225867657894737
3,0,home,1.1738137894736842,1.080241,1.2540695,1.1672712894736843
3,1,home,1.1557961842105262,1.2303976315789473,0.9861132894736842,1.5084882368421053
0,3,away,1.1913677631578947,1.4449997631578948,1.8849050263157894,0.6932991315789474
0,1,away,1.0321940263157894,1.5351884210526316,1.892587052631579,0.5854081842105263
4,1,home,1.2777044210526316,1.2818752894736842,1.0715308157894736,1.3496214210526316
0,0,draw,1.1816294210526317,1.2043040263157894,1.1898006052631578,1.391812947368421
0,2,away,0.9478512105263158,1.4598005,0.9220954210526315,1.405638394736842
3,0,home,1.1252872631578947,1.225867657894737,1.1557961842105262,1.2303976315789473
2,1,home,1.2552712368421053,1.163274,1.0321940263157894,1.5351884210526316
0,1,away,0.9861132894736842,1.5084882368421053,1.5200721052631578,1.0949210263157894
3,0,home,1.8849050263157894,0.6932991315789474,1.1738137894736842,1.080241
0,0,draw,1.892587052631579,0.5854081842105263,1.1816294210526317,1.2043040263157894
1,1,draw,1.0715308157894736,1.3496214210526316,1.1913677631578947,1.4449997631578948
1,3,away,0.8757456578947368,1.7251497105263158,0.9478512105263158,1.4598005
0,3,away,1.2540695,1.1672712894736843,1.5598515,0.9066103947368421
1,2,away,1.1898006052631578,1.391812947368421,1.2777044210526316,1.2818752894736842
0,2,away,0.9220954210526315,1.405638394736842,1.1958043684210526,1.2393216315789473
3,1,home,1.5200721052631578,1.0949210263157894,1.2540695,1.1672712894736843
3,3,draw,1.1958043684210526,1.2393216315789473,1.8849050263157894,0.6932991315789474
0,1,away,1.5598515,0.9066103947368421,1.892587052631579,0.5854081842105263
1,1,draw,1.1738137894736842,1.080241,1.2552712368421053,1.163274
2,0,home,1.1557961842105262,1.2303976315789473,0.8757456578947368,1.7251497105263158
1,2,away,1.1913677631578947,1.4449997631578948,1.1898006052631578,1.391812947368421
2,2,draw,1.0321940263157894,1.5351884210526316,0.9861132894736842,1.5084882368421053
0,1,away,1.2777044210526316,1.2818752894736842,1.1252872631578947,1.225867657894737
0,1,away,1.1816294210526317,1.2043040263157894,0.9220954210526315,1.405638394736842
1,1,draw,0.9478512105263158,1.4598005,1.0715308157894736,1.3496214210526316
0,0,draw,1.2552712368421053,1.163274,1.5200721052631578,1.0949210263157894
0,0,draw,0.9861132894736842,1.5084882368421053,0.8757456578947368,1.7251497105263158
3,1,home,1.5598515,0.9066103947368421,1.1816294210526317,1.2043040263157894
2,2,draw,1.1738137894736842,1.080241,1.0321940263157894,1.5351884210526316
1,0,home,1.1913677631578947,1.4449997631578948,0.9478512105263158,1.4598005
2,2,draw,1.8849050263157894,0.6932991315789474,1.892587052631579,0.5854081842105263
1,1,draw,1.2777044210526316,1.2818752894736842,1.1557961842105262,1.2303976315789473
